,Unnamed: 0,contract_item_cancellation_status_code,contract_item_customer_contract_life_cycle_status_code,contract_item_description,contract_item_internal_id,contract_item_product_category,contract_item_product_description,contract_item_support_end_date,contract_item_support_start_date,contract_item_validity_status_code,contract_item_concurrent_sessions,description,end_date_time,start_date_time,item_count,item_list_cancellation_status_code,item_list_customer_contract_life_cycle_status_code,item_list_validity_status_code,contract_label,customer_earliest_start,customer_latest_end,customer_label,sla,product_category,service_level_regex,otrs_version,system_type,feature_add_ons,cancellation_date,customer_country,concat_volume,concat_currency,cancellation_date_orca,end_customer_id,contract_item_logical_error,item_list_logical_error,customer_logical_error,date_logical_error,logical_error,churn
134,134,Canceled,Completed,OTRS On-Premise TITANIUM,10,Contracts On-Premise OTRS,OTRS On-Premise TITANIUM,2023-04-30 22:00:00,2022-10-31 23:00:00,Expired,100.0,OTRS On-Premise TITANIUM,2023-04-30 22:00:00,2018-10-31 23:00:00,1,Canceled,Completed,Expired,cancelled,2013-11-01 00:00:00,2023-10-31 23:59:00,cancelled,TITANIUM,On-Premise,Titanium,7.0.11,auto,"['OTRSDynamicFieldDatabase', 'OTRSSystemConfigurationHistory', 'OTRSReady2AdoptProcesses', 'OTRSReady2AdoptITSMProcesses', 'OTRSHideShowDynamicFields', 'OTRSDynamicFieldWebService', 'OTRSCalendarResourcePlanning', 'ITSMServiceLevelManagement', 'ITSMIncidentProblemManagement', 'ITSMCore', 'ITSMConfigurationManagement', 'ITSMChangeManagement', 'ITSM', 'ImportExport', 'GeneralCatalog', 'OTRSAdvancedEscalations', 'SystemMonitoring']",,BULGARIA,19995.0,EUR,,yO9kEOXt,False,False,False,False,False,1
135,135,Canceled,Completed,OTRS SILVER,10,Contracts Managed OTRS,OTRS SILVER,2023-04-30 22:00:00,2022-05-01 22:00:00,Expired,10.0,OTRS SILVER,2023-04-30 22:00:00,2019-05-01 22:00:00,1,Canceled,Completed,Expired,cancelled,2018-05-02 00:00:00,2023-05-01 23:59:00,cancelled,SILVER,SaaS,Silver,7.0.43,managed,"['OTRSSystemConfigurationHistory', 'SaaSUX3Base', 'SaaSPortalConnector', 'OTRSCalendarResourcePlanning', 'OTRSDynamicFieldDatabase']",,ITALY,4995.0,EUR,,anCJg21f,False,False,False,False,False,1
136,136,Canceled,Completed,OTRS On-Premise GOLD,10,Contracts On-Premise OTRS,OTRS On-Premise GOLD,2023-04-30 22:00:00,2022-04-30 22:00:00,Active,50.0,OTRS On-Premise GOLD,2023-04-30 22:00:00,2022-04-30 22:00:00,1,Canceled,Completed,Active,cancelled,2007-05-01 00:00:00,2023-04-30 23:59:00,cancelled,GOLD,On-Premise,Gold,4.0.11,manual,"['FAQ', 'OTRSHideShowDynamicFields']",2023-02-28 12:34:00,NETHERLANDS (KINGDOM OF THE),9995.0,EUR,2023-02-24 18:39:00,iDkOBnMB,True,True,False,False,True,1
137,137,Canceled,Completed,OTRS Business Solution™ PROFESSIONAL,10,Contracts On-Premise Old,"OTRS Business Solution, PROFESSIONAL",2023-05-02 22:00:00,2022-05-02 22:00:00,Expired,50.0,OTRS Business Solution‚ PROFESSIONAL,2023-05-02 22:00:00,2017-05-02 22:00:00,1,Canceled,Completed,Expired,cancelled,2016-07-26 00:00:00,2023-05-02 23:59:00,cancelled,GOLD,On-Premise,Gold,5.0.14,auto,"['FAQ', 'GeneralCatalog', 'ITSMCore', 'ITSMIncidentProblemManagement', 'ITSMServiceLevelManagement', 'OTRSBusiness', 'OTRSCustomerUserVIP', 'OTRSEscalationSuspend', 'OTRSMasterSlave', 'OTRSTicketWatchlist', 'Survey']",2022-03-08 12:16:00,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,5995.0,EUR,2023-06-01 09:08:00,Qj75Fc6r,False,False,False,False,False,1
138,138,Canceled,Completed,OTRS Business Solution™ PROFESSIONAL,10,Contracts On-Premise Old,"OTRS Business Solution, PROFESSIONAL",2023-05-02 22:00:00,2022-05-02 22:00:00,Active,50.0,OTRS Business Solution‚ PROFESSIONAL,2023-05-02 22:00:00,2017-05-02 22:00:00,1,Canceled,Completed,Active,cancelled,2017-05-02 22:00:00,2023-05-02 23:59:00,cancelled,GOLD,On-Premise,Gold,6.0.10,auto,"['OTRSTicketWatchlist', 'OTRSTicketForms', 'OTRSTicketAllocation', 'OTRSMasterSlave', 'OTRSEscalationSuspend', 'OTRSStatePreselectionResponseTemplates', 'OTRSCustomContactFields', 'OTRSBusiness']",2022-07-11 11:15:00,GERMANY,8595.0,EUR,2023-06-01 09:11:00,ZJqUQsaU,True,True,False,False,True,1
139,139,Canceled,Completed,OTRS GOLD,10,Contracts Managed OTRS,OTRS GOLD,2023-05-03 22:00:00,2022-05-03 22:00:00,Active,50.0,OTRS GOLD,2023-05-03 22:00:00,2022-05-03 22:00:00,1,Canceled,Completed,Active,cancelled,2020-05-04 00:00:00,2023-05-03 23:59:00,cancelled,GOLD,SaaS,Gold,7.0.42,managed,"['OTRSSystemConfigurationHistory', 'Survey', 'SaaSUX3Base', 'OTRSMasterSlave', 'ITSMServiceLevelManagement', 'ITSMIncidentProblemManagement', 'GeneralCatalog', 'ITSMConfigurationManagement', 'ITSMCore', 'SaaSPortalConnector', 'OTRSTicketInvoker', 'OTRSDynamicFieldDatabase', 'OTRSCalendarResourcePlanning', 'OTRSEscalationSuspend', 'OTRSTicketForms', 'OTRSTimeAccountingQuota']",2022-12-06 13:03:00,BRAZIL,719828.0,USD,2023-04-27 11:37:00,ZFnENvTr,True,True,False,False,True,1
140,140,Canceled,Completed,OTRS GOLD,10,Contracts Managed OTRS,OTRS GOLD,2023-05-03 22:00:00,2022-05-03 22:00:00,Active,50.0,OTRS GOLD,2023-05-03 22:00:00,2022-05-03 22:00:00,1,Canceled,Completed,Active,cancelled,2020-05-04 00:00:00,2023-05-03 23:59:00,cancelled,GOLD,SaaS,Gold,7.0.45,managed,"['OTRSSystemConfigurationHistory', 'OTRSDynamicFieldDatabase', 'OTRSEscalationSuspend', 'SaaSPortalConnector', 'Survey', 'OTRSTicketInvoker', 'OTRSCalendarResourcePlanning', 'ITSMServiceLevelManagement', 'ITSMIncidentProblemManagement', 'GeneralCatalog', 'ITSMConfigurationManagement', 'ImportExport', 'ITSMCore', 'SaaSUX3Base']",,BRAZIL,828502.0,USD,2023-05-11 17:52:00,8NFudmJ6,True,True,False,False,True,1
141,141,Canceled,Completed,OTRS On-Premise GOLD,10,Contracts On-Premise OTRS,OTRS On-Premise GOLD,2023-05-07 22:00:00,2022-05-07 22:00:00,Expired,50.0,OTRS On-Premise GOLD,2023-05-07 22:00:00,2019-05-07 22:00:00,1,Canceled,Completed,Expired,cancelled,2011-03-23 00:00:00,2023-05-07 23:59:00,cancelled,GOLD,On-Premise,Gold,7.0.7,auto,"['OTRSMasterSlave', 'TimeAccounting', 'OTRSHideShowDynamicFields', 'OTRSSystemConfigurationHistory']",2022-10-31 10:16:00,GERMANY,15995.0,EUR,2023-06-01 09:32:00,XZY1ttbu,False,False,False,False,False,1
142,142,Canceled,Completed,OTRS GOLD ITSM Solution 25 CA,10,Contracts Managed SOLS,OTRS GOLD ITSM Solution 25 CA,2023-05-16 22:00:00,2022-05-16 22:00:00,Active,25.0,OTRS GOLD,2023-05-16 22:00:00,2022-05-16 22:00:00,1,Canceled,Completed,Active,cancelled,2022-05-16 22:00:00,2023-05-16 23:59:00,cancelled,25 CA Contract,SaaS,Gold,8.0.35,managed,"['OTRSReady2AdoptITSMProcesses', 'OTRSDynamicFieldCalculation', 'OTRSCustomerFrontendLinkObject', 'OTRSCustomContactFields', 'OTRSDynamicFieldDatabase', 'OTRSAutomation', 'OTRSDynamicFieldCI', 'OTRSCIReferences', 'OTRSHideShowDynamicFields', 'OTRSSystemConfigurationHistory', 'OTRSDynamicFieldWebService', 'OTRSCIsInCustomerFrontend', 'OTRSAdvancedTicketOverview', 'OTRSCalendarResourcePlanning', 'OTRSConfigurationManagement', 'OTRSEscalationSuspend', 'OTRSServiceManagement', 'OTRSTicketInvoker', 'SaaSUX3Base', 'OTRSPrimarySecondary', 'SaaSPortalConnector']",,GERMANY,12495.0,EUR,2023-09-01 12:47:00,xb6A8BIg,True,True,False,False,True,1
143,143,Canceled,Completed,OTRS On-Premise SILVER,10,Contracts On-Premise OTRS,OTRS On-Premise SILVER,2023-05-30 22:00:00,2022-05-30 22:00:00,Expired,10.0,OTRS On-Premise SILVER,2023-05-30 22:00:00,2022-05-30 22:00:00,1,Canceled,Completed,Expired,cancelled,2022-05-30 22:00:00,2023-05-30 23:59:00,cancelled,SILVER,On-Premise,Silver,8.0.22,auto,['OTRSCalendarResourcePlanning'],,DENMARK,6995.0,EUR,2023-03-06 13:14:00,Z2yA71G5,False,False,False,False,False,1
